dia;casos totais;aumento;mortes totais
0;0;0;0
1;19;19;1
2;38;19;4
3;72;34;5
4;125;53;8
5;206;81;13
6;316;110;19
7;343;27;31
8;407;64;41
9;501;94;63
10;600;99;96
11;774;174;131
12;1024;250;171
13;1362;338;218
14;1541;179;296
15;1755;214;373
16;2142;387;480
17;2564;422;582
18;3099;535;710
19;3812;713;851
20;4474;662;1000
21;4943;469;1170
22;5429;486;1378
23;6757;1328;1611
24;7952;1195;1830
25;9151;1199;2066
26;10514;1363;2337
27;12034;1520;2584
28;12879;845;2841
29;13563;684;3118
30;15302;1739;3440
31;16984;1682;3712
32;18501;1517;4014
33;19979;1478;4298
34;21673;1694;4563
35;22596;923;4840
36;23263;667;5101
37;25198;1935;5381
38;26713;1515;5627
39;28311;1598;5832
40;30550;2239;6040
41;32886;2336;6230
42;33917;1031;6436
43;34441;524;6639
44;34979;538;6820
45;36539;1560;6976
46;38172;1633;7131
47;39847;1675;7273
48;41242;1395;7427
49;41964;722;7562
50;42408;444;7672
51;43686;1278;7779
52;44956;1270;7866
53;45734;778;7959
54;46710;976;8034
55;47521;811;8128
56;47909;388;8223
57;48114;205;8304
58;48869;755;8380
59;49438;569;8451
60;49960;522;8525
61;50546;586;8596
62;50783;237;8668
63;51069;286;8733
64;51209;140;8778
65;51879;670;8834
66;52426;547;8877
67;52978;552;8922
68;53420;442;8952
69;53903;483;8983
70;54143;240;9020
71;54261;118;9053
72;54737;476;9083
73;55132;395;9117
74;55453;321;9158
75;55758;305;9183
76;56105;347;9216
77;56252;147;9242
78;56333;81;9266
79;56650;317;9290
80;56942;292;9316
81;57327;385;9332
82;57397;70;9355
83;57645;248;9377
84;57768;123;9398
85;57843;75;9421
86;58157;314;9441
87;58359;202;9455
88;58541;182;9467
89;58712;171;9478
90;58877;165;9490
91;58938;61;9499
92;58987;49;9511
93;59046;59;9523
94;59229;183;9530
95;59388;159;9540
96;59560;172;9545
97;59714;154;9548
98;59783;69;9556
99;59836;53;9563
100;59989;153;9570
101;60134;145;9575
102;60253;119;9579
103;60348;95;9582
104;60437;89;9591
105;60486;49;9603
106;60508;22;9607
107;60655;147;9610
108;60754;99;9615
109;60877;123;9617
110;60985;108;9625
111;61106;121;9630
112;61156;50;9633
113;61176;20;9641
114;61319;143;9643
115;61429;110;9648
116;61529;100;9650
117;61605;76;9653
118;61718;113;9655
119;61759;41;9656
120;61783;24;9659
121;61910;127;9660
122;62010;100;9662
123;62145;135;9662
124;62238;93;9664
125;62332;94;9668
126;62396;64;9668
127;62420;24;9671
128;62532;112;9676
129;62631;99;9681
130;62768;137;9683
131;62892;124;9686
132;63019;127;9687
133;63081;62;9689
134;63124;43;9690
135;63348;224;9692
136;63555;207;9694
137;63815;260;9699
138;64041;226;9700
139;64315;274;9702
140;64445;130;9706
141;64509;64;9707
142;64952;443;9710
143;65097;145;9712
144;65650;553;9715
145;66089;439;9717
146;66585;496;9722
147;66814;229;9725
148;66998;184;9730
149;67593;595;9735
150;68278;685;9739
151;68981;703;9745
152;69616;635;9747
153;70300;684;9752
154;70609;309;9763
155;70757;148;9776
156;71551;794;9787
157;72365;814;9799
158;73141;776;9811
159;73910;769;9820
160;74681;771;9827
161;74985;304;9834
162;75107;122;9845
163;75980;873;9854
164;76698;718;9858
165;77307;609;9861
166;77976;669;9866
167;78563;587;9869
168;78726;163;9874
169;78858;132;9879
170;79565;707;9883
171;80290;725;9886
172;80902;612;9890
173;81483;581;9896
174;81993;510;9897
175;82196;203;9900
176;82311;115;9903
177;82918;607;9905
178;83445;527;9909
179;83971;526;9911
180;84506;535;9912
181;85120;614;9914
182;85315;195;9918
183;85432;117;9921
184;86066;634;9923
185;86631;565;9926
186;87205;574;9931
187;87882;677;9932
188;88610;728;9933
189;88932;322;9937
190;89087;155;9940
191;90005;918;9942
192;90876;871;9943
193;91900;1024;9949
194;93043;1143;9957
195;94327;1284;9960
196;94944;617;9963
197;95245;301;9964
198;96972;1727;9972
199;98600;1628;9976
200;100542;1942;9981
201;102294;1752;9987
202;104003;1709;9999
203;104897;894;10012
204;105358;461;10022
205;107562;2204;10028
206;109636;2074;10043
207;111733;2097;10054
208;113529;1796;10069
209;115152;1623;10083
210;116096;944;10097
211;116636;540;10115
212;119418;2782;10135
213;122402;2984;10155
214;125645;3243;10174
215;129055;3410;10196
216;132776;3721;10222
217;134485;1709;10258
218;135520;1035;10292
219;140769;5249;10333
220;146456;5687;10368
221;153259;6803;10404
222;159847;6588;10427
223;167636;7789;10458
224;171946;4310;10510
225;174349;2403;10562
226;184084;9735;10624
227;196661;12577;10679
228;208954;12293;10773
229;220772;11818;10866
230;234249;13477;10960
231;242244;7995;11081
232;246533;4289;11213
233;262093;15560;11355
234;281358;19265;11494
235;298842;17484;11679
236;316529;17687;11856
237;335405;18876;12019
238;346962;11557;12226
239;351857;4895;12398
240;371725;19868;12596
241;393935;22210;12802
242;411933;17998;13016
243;427023;15090;13224
244;442424;15401;13434
245;448732;6308;13628
246;451398;2666;13846
247;465256;13858;14042
248;477358;12102;14215
249;486588;9230;14398
250;494246;7658;14573
251;500894;6648;14762
252;503940;3046;14957
253;505388;1448;15110
254;514024;8636;15267
255;521725;7701;15437
256;523729;2004;15601
257;530211;6482;15737
258;535920;5709;15872
259;538291;2371;16010
260;539348;1057;16126
261;545169;5821;16262
262;549997;4828;16378
263;553697;3700;16499
264;556716;3019;16611
265;559797;3081;16727
266;561060;1263;16822
267;561649;589;16926
268;565600;3951;17018
269;568463;2863;17033
270;571132;2669;17033
271;573535;2403;0
272;576229;2694;0
273;577233;1004;0
274;577793;560;0
275;581059;3266;0
276;583570;2511;0
277;584751;1181;0
278;584754;3;0
